tab	specimens
specimen	sample	experiments	meas_step_max	meas_step_min	meas_step_unit	analysts	software_packages	int_abs	int_corr	int_corr_aniso	int_corr_cooling_rate	int_corr_nlt	int_n_measurements	int_treat_dc_field	int_b_beta	int_f	int_frac	int_fvds	int_g	int_gmax	int_q	int_scat	int_dang	int_mad_free	int_drats	int_n_ptrm	citations	method_codes	result_quality	volume	weight
AX12-12a	AX12-12					Yiming Zhang																					This study	LP-NOMAG			
AX12-13a	AX12-13					Yiming Zhang																					This study	LP-NOMAG			
AX12-14a	AX12-14		858	748	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	3.03e-05	u	1.00			16	3.00e-05	0.06	1.06	0.75	0.78	0.91	0.17	15.02	t	0.55	1.74	29.83	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX12-14a	AX12-14					Yiming Zhang																					This study	LP-NOMAG			
AX12-15a	AX12-15					Yiming Zhang																					This study	LP-NOMAG			
AX12-5a	AX12-5					Yiming Zhang																					This study	LP-NOMAG			
AX12-6a	AX12-6					Yiming Zhang																					This study	LP-NOMAG			
AX12-6a	AX12-6		837	748	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	3.59e-05	u	1.00			10	3.00e-05	0.09	0.78	0.64	0.58	0.86	0.24	7.19	t	1.87	3.86	20.46	7	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX12-7a	AX12-7					Yiming Zhang																					This study	LP-NOMAG			
AX12-8a	AX12-8					Yiming Zhang																					This study	LP-NOMAG			
AX12-8a	AX12-8		843	793	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	3.49e-05	u	1.00			10	3.00e-05	0.08	0.95	0.72	0.71	0.87	0.26	10.50	t	2.38	1.48	20.51	8	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX12-9a	AX12-9					Yiming Zhang																					This study	LP-NOMAG			
AX13-6a	AX13-6		828	473	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.68e-05	u	1.00			12	3.00e-05	0.06	0.70	0.70	0.62	0.81	0.22	10.24	t	1.53	3.82	30.95	6	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX13-6a	AX13-6					Yiming Zhang																					This study	LP-NOMAG			
AX13-7a	AX13-7		858	748	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.26e-05	u	1.00			15	3.00e-05	0.03	0.74	0.61	0.53	0.85	0.20	23.00	t	2.09	3.62	60.44	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX13-7a	AX13-7					Yiming Zhang																					This study	LP-NOMAG			
AX13-8a	AX13-8		833	723	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	8.41e-05	u	1.00			9	3.00e-05	0.03	0.83	0.74	0.66	0.84	0.27	23.90	t	2.19	4.92	37.37	6	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX13-8a	AX13-8					Yiming Zhang																					This study	LP-NOMAG			
AX13-9a	AX13-9		853	373	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.80e-05	u	1.00			20	3.00e-05	0.02	0.95	0.97	0.70	0.86	0.15	34.55	t	0.79	4.79	22.73	9	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX13-9a	AX13-9					Yiming Zhang																					This study	LP-NOMAG			
AX15-6a	AX15-6					Yiming Zhang																					This study	LP-NOMAG			
AX15-7a	AX15-7					Yiming Zhang																					This study	LP-NOMAG			
AX15-8a	AX15-8					Yiming Zhang																					This study	LP-NOMAG			
AX16-10a	AX16-10		858	783	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	5.33e-05	u	1.00			14	3.00e-05	0.04	0.81	0.62	0.61	0.90	0.20	16.40	t	1.10	2.75	1.54	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX16-10a	AX16-10					Yiming Zhang																					This study	LP-NOMAG			
AX16-11a	AX16-11		843	723	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.42e-05	u	1.00			14	3.00e-05	0.06	0.82	0.70	0.62	0.88	0.15	11.91	t	2.07	2.86	17.23	8	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX16-11a	AX16-11					Yiming Zhang																					This study	LP-NOMAG			
AX16-12a	AX16-12					Yiming Zhang																					This study	LP-NOMAG			
AX16-13a	AX16-13		843	673	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.17e-05	u	1.00			15	3.00e-05	0.07	0.84	0.72	0.65	0.86	0.20	11.10	t	1.85	3.47	15.74	8	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX16-13a	AX16-13					Yiming Zhang																					This study	LP-NOMAG			
AX16-14a	AX16-14		838	673	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.36e-05	u	1.00			14	3.00e-05	0.08	0.75	0.63	0.55	0.88	0.14	8.25	t	2.12	3.84	13.41	8	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX16-14a	AX16-14					Yiming Zhang																					This study	LP-NOMAG			
AX16-15a	AX16-15		843	748	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	3.19e-05	u	1.00			13	3.00e-05	0.07	0.86	0.61	0.58	0.88	0.17	11.42	t	1.41	3.07	31.05	8	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX16-15a	AX16-15					Yiming Zhang																					This study	LP-NOMAG			
AX16-16a	AX16-16					Yiming Zhang																					This study	LP-NOMAG			
AX16-16a	AX16-16		835	673	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.33e-05	u	1.00			13	3.00e-05	0.09	0.73	0.65	0.54	0.87	0.18	7.44	t	2.94	5.14	14.57	7	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX16-5a	AX16-5		833	698	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.49e-05	u	1.00			10	3.00e-05	0.10	0.80	0.65	0.51	0.83	0.24	6.90	t	3.90	7.42	3.46	6	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX16-5a	AX16-5					Yiming Zhang																					This study	LP-NOMAG			
AX16-6a	AX16-6					Yiming Zhang																					This study	LP-NOMAG			
AX16-7a	AX16-7					Yiming Zhang																					This study	LP-NOMAG			
AX16-8a	AX16-8					Yiming Zhang																					This study	LP-NOMAG			
AX16-9a	AX16-9		858	773	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.80e-05	u	1.00			15	3.00e-05	0.04	0.73	0.61	0.56	0.90	0.17	15.38	t	1.23	2.98	12.10	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX16-9a	AX16-9					Yiming Zhang																					This study	LP-NOMAG			
AX22-10b	AX22-10					Yiming Zhang																					This study	LP-NOMAG			
AX22-1b	AX22-1					Yiming Zhang																					This study	LP-NOMAG			
AX22-2b	AX22-2					Yiming Zhang																					This study	LP-NOMAG			
AX22-3b	AX22-3					Yiming Zhang																					This study	LP-NOMAG			
AX22-4b	AX22-4					Yiming Zhang																					This study	LP-NOMAG			
AX22-5b	AX22-5					Yiming Zhang																					This study	LP-NOMAG			
AX22-6b	AX22-6					Yiming Zhang																					This study	LP-NOMAG			
AX22-7b	AX22-7					Yiming Zhang																					This study	LP-NOMAG			
AX22-8b	AX22-8					Yiming Zhang																					This study	LP-NOMAG			
AX22-9b	AX22-9					Yiming Zhang																					This study	LP-NOMAG			
AX3-7a	AX3-7					Yiming Zhang																					This study	LP-NOMAG			
AX3-8a	AX3-8					Yiming Zhang																					This study	LP-NOMAG			
AX3-9a	AX3-9					Yiming Zhang																					This study	LP-NOMAG			
AX6-1a	AX6-1		858	748	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.74e-05	u	1.00			15	3.00e-05	0.02	0.84	0.60	0.59	0.91	0.16	31.91	t	1.67	2.92	35.71	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX6-1a	AX6-1					Yiming Zhang																					This study	LP-NOMAG			
AX6-2a	AX6-2					Yiming Zhang																					This study	LP-NOMAG			
AX6-2a	AX6-2		858	673	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	1.82e-05	u	1.00			18	3.00e-05	0.04	0.91	0.70	0.60	0.92	0.12	19.78	t	3.43	3.44	49.22	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX6-3a	AX6-3					Yiming Zhang																					This study	LP-NOMAG			
AX6-3a	AX6-3		858	673	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	2.54e-05	u	1.00			18	3.00e-05	0.04	0.89	0.76	0.61	0.92	0.10	18.30	t	2.88	4.28	53.46	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX8-1a	AX8-1		839	698	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	6.54e-05	u	1.00			13	3.00e-05	0.07	0.68	0.60	0.50	0.86	0.20	7.97	t	2.95	5.28	14.15	8	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX8-1a	AX8-1					Yiming Zhang																					This study	LP-NOMAG			
AX8-2a	AX8-2		853	673	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	5.05e-05	u	1.00			17	3.00e-05	0.04	0.86	0.63	0.52	0.91	0.16	18.10	t	1.29	3.19	2.59	9	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX8-2a	AX8-2					Yiming Zhang																					This study	LP-NOMAG			
AX8-3a	AX8-3					Yiming Zhang																					This study	LP-NOMAG			
AX8-3a	AX8-3		853	673	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.13e-05	u	1.00			17	3.00e-05	0.03	0.91	0.75	0.63	0.92	0.14	25.73	t	2.22	4.38	32.94	9	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
