tab	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
Yiming Zhang	This study		0.7	215.1	17.7	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-29 16:22:13	1.52e-06	8.590000000000001e-09	1.07e-08	1.52e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-12	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	12	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	11	573
Yiming Zhang	This study		0.7	211.3	10.5	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-30 12:12:25	1.44e-06	9.41e-09	8.740000000000001e-09	1.4499999999999999e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-13	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	13	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	12	698
Yiming Zhang	This study		0.6	214.6	5.1	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-30 17:05:13	1.37e-06	8.909999999999998e-09	5.96e-09	1.31e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-14	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	14	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	13	723
Yiming Zhang	This study		0.6	214.5	19.3	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-31 18:31:56	1.43e-06	7.53e-09	6.0499999999999996e-09	1.27e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-15	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	15	AX1-1a	u	0	0.0	0.0	-90.0	14	723
Yiming Zhang	This study		0.6	211.0	21.3	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-01 11:15:12	1.34e-06	8.009999999999999e-09	3.74e-09	1.2099999999999999e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-16	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	16	AX1-1a	u	0	0.0	0.0	-90.0	15	748
Yiming Zhang	This study		0.5	215.4	3.1	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-01 14:56:54	1.25e-06	4.92e-09	3.4399999999999997e-09	1.05e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-17	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	17	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	16	698
Yiming Zhang	This study		0.5	212.2	-4.8	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-02 10:20:55	1.22e-06	3.14e-09	2.99e-09	9.7e-09	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-18	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	18	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	17	748
Yiming Zhang	This study		0.4	216.8	-31.7	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-02 14:34:09	1.22e-06	1.0800000000000002e-09	4.43e-09	7.27e-09	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-19	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	19	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	18	773
Yiming Zhang	This study		0.5	214.6	7.3	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-03 12:12:15	9.73e-07	1.0400000000000001e-09	3.3399999999999996e-09	7.57e-09	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-20	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	20	AX1-1a	u	0	0.0	0.0	-90.0	19	773
Yiming Zhang	This study		0.5	219.7	13.3	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-03 16:39:30	7.1e-07	3.86e-10	2.72e-09	5.5000000000000004e-09	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-21	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	21	AX1-1a	u	0	0.0	0.0	-90.0	20	793
Yiming Zhang	This study		0.4	211.8	-45.3	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-14 12:49:10	9.5e-07	3.4899999999999997e-09	3.2899999999999996e-09	5.41e-09	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-22	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	22	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	21	748
Yiming Zhang	This study		0.3	211.7	-68.1	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-18 11:52:45	1.62e-06	3.88e-09	7.62e-09	8.76e-10	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-23	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	23	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	22	793
Yiming Zhang	This study		0.3	204.3	-79.8	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-18 15:43:48	2.36e-06	8.61e-09	1.1000000000000001e-08	5.15e-09	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-24	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	24	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	23	803
Yiming Zhang	This study		0.3	215.7	-43.8	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-19 11:59:14	4.92e-07	1.1e-09	2.52e-09	1.85e-09	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-25	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	25	AX1-1a	u	0	0.0	0.0	-90.0	24	803
Yiming Zhang	This study		0.4	213.9	-21.3	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-19 15:30:03	2.4199999999999997e-07	1.02e-09	1.0800000000000002e-09	1.58e-09	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-26	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	26	AX1-1a	u	0	0.0	0.0	-90.0	25	813
Yiming Zhang	This study		0.3	202.6	-84.1	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-20 12:04:20	2.17e-06	8.9e-09	1.02e-08	5.720000000000001e-09	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-27	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	27	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	26	793
Yiming Zhang	This study		0.4	202.6	-85.8	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-20 16:03:55	3.12e-06	1.33e-08	1.44e-08	9.340000000000001e-09	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-28	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	28	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	27	813
Yiming Zhang	This study		0.4	203.1	-87.4	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-21 10:01:58	3.61e-06	1.6799999999999998e-08	1.76e-08	1.3e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-29	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	29	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	28	823
Yiming Zhang	This study		0.4	212.9	-54.9	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-21 13:32:26	1.97e-07	9.02e-10	1.02e-09	3.71e-10	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-30	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	30	AX1-1a	u	0	0.0	0.0	-90.0	29	823
Yiming Zhang	This study		0.4	215.0	-37.0	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-21 17:06:42	1.11e-07	5.09e-10	6.34e-10	5.1e-10	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-31	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	31	AX1-1a	u	0	0.0	0.0	-90.0	30	828
Yiming Zhang	This study		0.4	143.7	-88.0	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-22 12:03:53	3.63e-06	1.78e-08	1.88e-08	1.2e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-32	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	32	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	31	813
Yiming Zhang	This study		0.4	173.3	-88.1	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-23 09:12:04	4.2e-06	1.92e-08	1.97e-08	1.27e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-33	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	33	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	32	828
Yiming Zhang	This study		0.4	173.5	-88.3	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-23 13:30:50	4.46e-06	2.1e-08	2.16e-08	1.3e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-34	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	34	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	33	833
Yiming Zhang	This study		0.4	209.4	-52.7	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-24 08:27:14	1e-07	5.32e-10	4.87e-10	1.99e-10	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-35	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	35	AX1-1a	u	0	0.0	0.0	-90.0	34	833
Yiming Zhang	This study		0.4	212.5	-43.6	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-24 12:17:55	6.89e-08	5.14e-10	3.6799999999999997e-10	2.2700000000000002e-10	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-36	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	36	AX1-1a	u	0	0.0	0.0	-90.0	35	835
Yiming Zhang	This study		0.4	155.9	-87.4	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-24 16:11:33	4.61e-06	2.2400000000000002e-08	2.3900000000000002e-08	1.6e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-37	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	37	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	36	828
Yiming Zhang	This study		0.4	155.9	-88.5	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-25 11:58:48	4.84e-06	2.48e-08	2.5e-08	1.73e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-38	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	38	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	37	835
Yiming Zhang	This study		0.4	154.4	-87.7	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-25 15:55:00	5.12e-06	2.52e-08	2.6e-08	1.49e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-39	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	39	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	38	837
Yiming Zhang	This study		0.7	210.3	-52.6	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-26 13:50:59	6.559999999999999e-08	7.26e-10	4.22e-10	1.44e-10	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-40	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	40	AX1-1a	u	0	0.0	0.0	-90.0	39	837
Yiming Zhang	This study		0.4	219.8	-50.5	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-26 17:07:13	6.230000000000001e-08	2.17e-10	3.4e-10	1.55e-10	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-41	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	41	AX1-1a	u	0	0.0	0.0	-90.0	40	839
Yiming Zhang	This study		0.4	139.7	-89.4	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-27 10:15:27	5.18e-06	2.52e-08	2.56e-08	1.55e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-42	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	42	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	41	835
Yiming Zhang	This study		0.4	217.5	-89.5	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-27 14:00:42	5.34e-06	2.62e-08	2.57e-08	1.37e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-43	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	43	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	42	839
Yiming Zhang	This study		0.4	117.3	-87.7	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-28 10:19:14	5.5e-06	2.64e-08	2.6800000000000002e-08	1.29e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-44	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	44	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	43	843
Yiming Zhang	This study		0.4	215.2	-77.1	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-28 16:30:19	1.28e-07	7.630000000000001e-10	4.44e-10	1.8399999999999998e-10	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-45	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	45	AX1-1a	u	0	0.0	0.0	-90.0	44	843
Yiming Zhang	This study		0.4	218.5	-56.3	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-29 10:01:49	5.019999999999999e-08	3.8199999999999997e-10	2.4799999999999997e-10	1.0200000000000001e-10	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-46	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	46	AX1-1a	u	0	0.0	0.0	-90.0	45	848
Yiming Zhang	This study		0.4	157.7	-88.0	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-29 13:37:28	5.57e-06	2.58e-08	2.63e-08	9.59e-09	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-47	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	47	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	46	839
Yiming Zhang	This study		0.4	158.8	-88.9	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-30 10:13:20	5.77e-06	2.77e-08	2.7900000000000002e-08	1.1299999999999999e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-48	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	48	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	47	848
Yiming Zhang	This study		0.4	168.5	-89.1	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-30 14:06:43	5.82e-06	2.8599999999999998e-08	2.9100000000000002e-08	1.29e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-49	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	49	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	48	853
Yiming Zhang	This study		1.2	224.8	-58.2	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-31 10:02:47	4.1900000000000005e-08	6.88e-10	5.59e-10	8.670000000000001e-11	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-50	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	50	AX1-1a	u	0	0.0	0.0	-90.0	49	853
