tab	ages
age	location	site	sample	specimen	age_unit	citations	method_codes
1091.83	Beaver Bay Complex				Ma	This study	GM-UPB-I-206
>>>>>>>>>>
tab	locations
location	age_unit	lat_n	lat_s	lon_e	lon_w	geologic_classes	lithologies	location_type	analysts	citations
Beaver Bay Complex	Ma	47.2	47.2	268.7	268.6	Igneous:Intrusive	Anorthosite:Diabase	Outcrop	Yiming Zhang	This study
Beaver Bay Complex	Ma	47.2	47.2	268.7	268.6	Igneous:Intrusive	Anorthosite:Diabase	Outcrop	Yiming Zhang	This study
>>>>>>>>>>
tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-11	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.5	124.7	21.1	0	0	0	-90	10	698	This study	hargrave 2019-12-23 11:07:34	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	11	u	4	273	Yiming Zhang		2.38e-06	1.25e-08	1.02e-08	1.69e-08
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-12	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.4	123.1	20.8	0	2.9999999999999997e-05	0	-90	11	573	This study	hargrave 2019-12-23 14:13:54	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	12	u	4	273	Yiming Zhang		2.48e-06	1.01e-08	8.34e-09	1.73e-08
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-13	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.4	123.9	19.7	0	2.9999999999999997e-05	0	-90	12	698	This study	hargrave 2019-12-24 02:06:51	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	13	u	4	273	Yiming Zhang		2.34e-06	8.469999999999999e-09	8.58e-09	1.65e-08
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-14	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.4	124.2	19.7	0	2.9999999999999997e-05	0	-90	13	723	This study	hargrave 2019-12-24 12:06:32	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	14	u	4	273	Yiming Zhang		2.15e-06	7.090000000000002e-09	7.74e-09	1.58e-08
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-15	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.5	124.4	21.6	0	0	0	-90	14	723	This study	hargrave 2019-12-25 12:45:30	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	15	u	4	273	Yiming Zhang		1.89e-06	7.120000000000002e-09	8.120000000000001e-09	1.31e-08
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-16	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.5	123.9	22.8	0	0	0	-90	15	748	This study	hargrave 2019-12-25 16:23:11	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	16	u	4	273	Yiming Zhang		1.47e-06	6.65e-09	5.71e-09	1.08e-08
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-17	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.5	122.8	19.4	0	2.9999999999999997e-05	0	-90	16	698	This study	hargrave 2019-12-26 11:14:02	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	17	u	4	273	Yiming Zhang		1.99e-06	7.91e-09	7.99e-09	1.48e-08
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-18	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.5	123.4	18.7	0	2.9999999999999997e-05	0	-90	17	748	This study	hargrave 2019-12-26 15:11:44	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	18	u	4	273	Yiming Zhang		1.89e-06	7.56e-09	7.38e-09	1.48e-08
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-19	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.6	123.5	16.7	0	2.9999999999999997e-05	0	-90	18	773	This study	hargrave 2019-12-27 12:46:03	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	19	u	4	273	Yiming Zhang		1.75e-06	1e-08	3.18e-09	1.4499999999999999e-08
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-20	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.6	98.8	41.5	0	0	0	-90	19	773	This study	hargrave 2019-12-27 16:42:25	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	20	u	4	273	Yiming Zhang		2.08e-07	1.85e-09	1.2e-09	7.74e-10
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-21	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.6	311.5	-19.5	0	0	0	-90	20	793	This study	hargrave 2019-12-28 16:19:50	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	21	u	4	273	Yiming Zhang		1.63e-06	8.9e-09	6.9499999999999985e-09	1.29e-08
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-22	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.5	123.6	9.1	0	2.9999999999999997e-05	0	-90	21	748	This study	hargrave 2019-12-29 14:55:09	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	22	u	4	273	Yiming Zhang		1.3e-06	6.04e-09	2.37e-09	1.07e-08
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-23	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.4	126.8	-41.1	0	2.9999999999999997e-05	0	-90	22	793	This study	hargrave 2019-12-30 11:19:02	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	23	u	4	273	Yiming Zhang		1.36e-06	3.91e-09	4.4e-09	8.25e-09
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-24	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.3	126.9	-65.2	0	2.9999999999999997e-05	0	-90	23	803	This study	hargrave 2019-12-30 15:13:19	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	24	u	4	273	Yiming Zhang		1.88e-06	7.18e-09	7.87e-09	5.760000000000001e-09
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-25	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.6	311.4	-13	0	0	0	-90	24	803	This study	hargrave 2019-12-30 21:24:19	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	25	u	4	273	Yiming Zhang		1.03e-06	5.96e-09	3.7e-09	8.940000000000001e-09
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-26	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.8	313.6	-20	0	0	0	-90	25	813	This study	hargrave 2020-01-01 10:29:42	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	26	u	4	273	Yiming Zhang		2.21e-07	2.3e-09	1.3300000000000002e-09	2.0300000000000002e-09
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-27	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.4	125.0	-80.7	0	2.9999999999999997e-05	0	-90	26	793	This study	hargrave 2020-01-01 14:00:07	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	27	u	4	273	Yiming Zhang		2.83e-06	1.55e-08	1.44e-08	4.86e-09
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-28	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.4	132.3	-85.9	0	2.9999999999999997e-05	0	-90	27	813	This study	hargrave 2020-01-01 17:55:49	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	28	u	4	273	Yiming Zhang		4.32e-06	2.2999999999999998e-08	2.29e-08	6.8799999999999986e-09
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-29	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.4	131.8	-86.3	0	2.9999999999999997e-05	0	-90	28	823	This study	hargrave 2020-01-02 13:26:21	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	29	u	4	273	Yiming Zhang		5.49e-06	2.71e-08	2.5099999999999996e-08	9.8e-09
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-30	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.6	114.9	-7.4	0	0	0	-90	29	823	This study	hargrave 2020-01-02 17:52:57	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	30	u	4	273	Yiming Zhang		1.62e-07	8.87e-10	1.0300000000000002e-09	1.2800000000000001e-09
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-31	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.5	124.7	4.7	0	0	0	-90	30	826	This study	hargrave 2020-01-03 11:27:38	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	31	u	4	273	Yiming Zhang		1.7699999999999996e-07	7.049999999999999e-10	5.07e-10	1.29e-09
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-32	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.4	182.4	-87.8	0	2.9999999999999997e-05	0	-90	31	813	This study	hargrave 2020-01-03 14:58:35	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	32	u	4	273	Yiming Zhang		7.12e-06	3.52e-08	3.44e-08	7.77e-09
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-33	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.4	176.6	-89.9	0	2.9999999999999997e-05	0	-90	32	826	This study	hargrave 2020-01-14 15:53:50	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	33	u	4	273	Yiming Zhang		7.96e-06	3.7400000000000004e-08	3.72e-08	5.820000000000001e-09
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-34	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.4	132.9	-88.1	0	2.9999999999999997e-05	0	-90	33	829	This study	hargrave 2020-01-18 14:49:10	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	34	u	4	273	Yiming Zhang		8.65e-06	4.7000000000000004e-08	4.58e-08	2.6800000000000002e-08
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-35	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.4	138.1	-23.4	0	0	0	-90	34	829	This study	hargrave 2020-01-19 11:12:22	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	35	u	4	273	Yiming Zhang		1.94e-07	4.36e-10	1.02e-09	1.14e-09
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-36	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.5	137.6	-10.8	0	0	0	-90	35	832	This study	hargrave 2020-01-19 14:37:13	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	36	u	4	273	Yiming Zhang		2.08e-07	3.5499999999999996e-10	1.3300000000000002e-09	1.56e-09
BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-37	BD1-11b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-11b	0.4	141.7	-88.1	0	2.9999999999999997e-05	0	-90	36	826	This study	hargrave 2020-01-20 11:12:32	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	37	u	4	273	Yiming Zhang		9.85e-06	5.31e-08	5.24e-08	2.8199999999999998e-08
BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-38	BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-12b	0.5	118.0	33.8	0	0	0	-90	0	273	This study	hargrave 2019-12-18 17:12:11	LT-NO:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	38	u	4	273	Yiming Zhang		1.84e-06	1.03e-08	4.6e-09	1.3e-08
BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-39	BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-12b	0.5	116.2	33.2	0	0	0	-90	1	373	This study	hargrave 2019-12-19 10:28:28	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	39	u	4	273	Yiming Zhang		1.83e-06	1.53e-08	5.03e-09	1.27e-08
BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-40	BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-12b	0.4	113.2	32.1	0	2.9999999999999997e-05	0	-90	2	373	This study	hargrave 2019-12-19 15:49:13	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	40	u	4	273	Yiming Zhang		1.61e-06	8.95e-09	4.11e-09	1.1699999999999999e-08
BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-41	BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-12b	0.5	113.8	31.4	0	2.9999999999999997e-05	0	-90	3	473	This study	hargrave 2019-12-20 10:33:48	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	41	u	4	273	Yiming Zhang		1.44e-06	1.28e-08	3.5e-09	1.02e-08
BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-42	BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-12b	0.6	115.1	31.7	0	0	0	-90	4	473	This study	hargrave 2019-12-20 13:40:43	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	42	u	4	273	Yiming Zhang		1.43e-06	1.72e-08	5.96e-09	1.01e-08
BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-43	BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-12b	0.6	120.8	32	0	0	0	-90	5	573	This study	hargrave 2019-12-20 17:34:49	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	43	u	4	273	Yiming Zhang		1.39e-06	1.82e-08	7.68e-09	9.81e-09
BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-44	BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-12b	0.6	112.3	31.3	0	2.9999999999999997e-05	0	-90	6	373	This study	hargrave 2019-12-21 12:07:51	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	44	u	4	273	Yiming Zhang		1.32e-06	1.6100000000000002e-08	6.4e-09	9.99e-09
BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-45	BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-12b	0.6	116.5	30.3	0	2.9999999999999997e-05	0	-90	7	573	This study	hargrave 2019-12-21 15:24:32	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	45	u	4	273	Yiming Zhang		1.28e-06	1.94e-08	1.1200000000000001e-08	9.670000000000002e-09
BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-46	BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-12b	0.5	114.8	31.2	0	2.9999999999999997e-05	0	-90	8	673	This study	hargrave 2019-12-22 12:37:18	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	46	u	4	273	Yiming Zhang		1.13e-06	1.35e-08	8.99e-09	7.840000000000001e-09
BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-47	BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-12b	0.5	117.6	32.7	0	0	0	-90	9	673	This study	hargrave 2019-12-22 15:13:48	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	47	u	4	273	Yiming Zhang		1.1e-06	1.35e-08	7.62e-09	7.41e-09
BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-48	BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-12b	0.4	117.2	33	0	0	0	-90	10	698	This study	hargrave 2019-12-23 11:09:02	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	48	u	4	273	Yiming Zhang		1.04e-06	1.09e-08	9.78e-09	7.1700000000000015e-09
BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-49	BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-12b	0.3	113.7	31.3	0	2.9999999999999997e-05	0	-90	11	573	This study	hargrave 2019-12-23 14:15:57	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	49	u	4	273	Yiming Zhang		1.09e-06	9.37e-09	9.33e-09	7.77e-09
BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-50	BD1-12b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	BD1-12b	0.3	117.9	29.6	0	2.9999999999999997e-05	0	-90	12	698	This study	hargrave 2019-12-24 02:08:51	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	50	u	4	273	Yiming Zhang		1.05e-06	8.42e-09	1.09e-08	7.77e-09
