tab	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
Yiming Zhang	This study		0.6	122.2	16.0	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-23 10:29:19	1.17e-05	9.009999999999999e-08	2.12e-08	1e-07	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-11	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	11	BD1-10b	u	0	0.0	0.0	-90.0	10	698
Yiming Zhang	This study		0.6	125.4	14.2	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-23 13:32:50	1.1599999999999999e-05	8.52e-08	2.58e-08	9.720000000000001e-08	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-12	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	12	BD1-10b	u	0	2.9999999999999997e-05	0.0	-90.0	11	573
Yiming Zhang	This study		0.5	118.2	13.0	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-24 01:23:45	1.1400000000000001e-05	6.94e-08	4.2e-08	9.9e-08	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-13	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	13	BD1-10b	u	0	2.9999999999999997e-05	0.0	-90.0	12	698
Yiming Zhang	This study		0.6	121.1	11.0	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-24 11:23:11	1.09e-05	8.619999999999999e-08	2.8300000000000002e-08	9.7e-08	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-14	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	14	BD1-10b	u	0	2.9999999999999997e-05	0.0	-90.0	13	723
Yiming Zhang	This study		0.5	120.8	14.2	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-25 12:06:32	1.1e-05	7.51e-08	4.7599999999999996e-08	9.54e-08	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-15	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	15	BD1-10b	u	0	0.0	0.0	-90.0	14	723
Yiming Zhang	This study		0.5	119.8	15.5	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-25 15:41:29	1.0199999999999999e-05	5.67e-08	3.77e-08	8.48e-08	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-16	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	16	BD1-10b	u	0	0.0	0.0	-90.0	15	748
Yiming Zhang	This study		0.5	121.0	12.1	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-26 10:32:14	9.98e-06	5.79e-08	4.5700000000000006e-08	8.87e-08	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-17	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	17	BD1-10b	u	0	2.9999999999999997e-05	0.0	-90.0	16	698
Yiming Zhang	This study		0.6	122.8	7.1	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-26 14:29:07	9.5e-06	4.55e-08	4.58e-08	9.54e-08	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-18	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	18	BD1-10b	u	0	2.9999999999999997e-05	0.0	-90.0	17	748
Yiming Zhang	This study		0.6	120.6	-6.5	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-27 12:03:27	7.74e-06	1.6799999999999998e-08	3.24e-08	7.21e-08	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-19	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	19	BD1-10b	u	0	2.9999999999999997e-05	0.0	-90.0	18	773
Yiming Zhang	This study		0.5	119.8	10.1	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-27 16:00:46	6.82e-06	3.19e-08	3.61e-08	6.099999999999999e-08	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-20	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	20	BD1-10b	u	0	0.0	0.0	-90.0	19	773
Yiming Zhang	This study		0.5	116.5	7.2	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-28 15:39:50	2.15e-06	6.06e-09	6.74e-09	1.84e-08	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-21	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	21	BD1-10b	u	0	0.0	0.0	-90.0	20	793
Yiming Zhang	This study		0.4	120.4	-41.6	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-29 14:13:11	3.21e-06	7.96e-09	9.58e-09	2.2200000000000004e-08	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-22	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	22	BD1-10b	u	0	2.9999999999999997e-05	0.0	-90.0	21	748
Yiming Zhang	This study		0.3	113.7	-84.6	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-30 10:35:38	1.04e-05	4.16e-08	3.56e-08	1.98e-08	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-23	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	23	BD1-10b	u	0	2.9999999999999997e-05	0.0	-90.0	22	793
Yiming Zhang	This study		0.3	96.1	-86.9	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-30 14:28:52	1.2e-05	4.7300000000000007e-08	3.75e-08	1.86e-08	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-24	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	24	BD1-10b	u	0	2.9999999999999997e-05	0.0	-90.0	23	803
Yiming Zhang	This study		0.2	109.1	-85.7	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-30 20:44:16	1.13e-06	3.79e-09	3.2299999999999994e-09	2.7100000000000004e-09	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-25	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	25	BD1-10b	u	0	0.0	0.0	-90.0	24	803
Yiming Zhang	This study		0.4	126.1	-13.1	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-01 09:49:51	5.3e-07	1.7199999999999999e-09	2.42e-09	3.97e-09	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-26	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	26	BD1-10b	u	0	0.0	0.0	-90.0	25	813
Yiming Zhang	This study		0.3	89.8	-87.3	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-01 13:17:22	1.23e-05	5.6e-08	4.6200000000000003e-08	1.74e-08	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-27	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	27	BD1-10b	u	0	2.9999999999999997e-05	0.0	-90.0	26	793
Yiming Zhang	This study		0.3	100.6	-86.1	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-01 17:12:54	1.29e-05	5.78e-08	5.019999999999999e-08	1.08e-08	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-28	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	28	BD1-10b	u	0	2.9999999999999997e-05	0.0	-90.0	27	813
Yiming Zhang	This study		0.3	110.2	-85.6	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-02 12:43:18	1.34e-05	5.48e-08	4.87e-08	3.3e-09	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-29	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	29	BD1-10b	u	0	2.9999999999999997e-05	0.0	-90.0	28	823
Yiming Zhang	This study		0.5	125.9	-13.8	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-02 17:14:16	6.82e-07	1.9699999999999996e-09	1.85e-09	5.420000000000001e-09	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-30	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	30	BD1-10b	u	0	0.0	0.0	-90.0	29	823
Yiming Zhang	This study		0.5	125.5	-5.4	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-03 10:49:09	6.74e-07	1.14e-09	1.9600000000000003e-09	5.489999999999999e-09	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-31	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	31	BD1-10b	u	0	0.0	0.0	-90.0	30	826
Yiming Zhang	This study		0.3	97.0	-87.4	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-03 14:16:43	1.4300000000000002e-05	5.6600000000000004e-08	5.6100000000000006e-08	1.38e-08	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-32	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	32	BD1-10b	u	0	2.9999999999999997e-05	0.0	-90.0	31	813
Yiming Zhang	This study		0.3	88.4	-87.5	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-14 15:10:39	1.51e-05	5.6399999999999995e-08	5.94e-08	2.62e-08	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-33	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	33	BD1-10b	u	0	2.9999999999999997e-05	0.0	-90.0	32	826
Yiming Zhang	This study		0.3	126.3	-86.0	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-18 14:06:07	1.57e-05	7.299999999999999e-08	6.28e-08	2.32e-08	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-34	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	34	BD1-10b	u	0	2.9999999999999997e-05	0.0	-90.0	33	829
Yiming Zhang	This study		0.4	129.2	-17.3	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-19 10:33:24	6.87e-07	1.8600000000000002e-09	2.47e-09	5.01e-09	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-35	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	35	BD1-10b	u	0	0.0	0.0	-90.0	34	829
Yiming Zhang	This study		0.5	127.5	-7.6	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-19 13:58:21	6.110000000000001e-07	1.94e-09	2.44e-09	4.7100000000000005e-09	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-36	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	36	BD1-10b	u	0	0.0	0.0	-90.0	35	832
Yiming Zhang	This study		0.3	112.3	-86.8	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2020-01-20 10:29:37	1.64e-05	7.46e-08	6.48e-08	2.5e-08	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-37	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	37	BD1-10b	u	0	2.9999999999999997e-05	0.0	-90.0	36	826
Yiming Zhang	This study		0.7	115.3	35.8	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-18 16:21:50	1.63e-05	7.53e-08	1.29e-07	1.48e-07	4	273	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-38	LT-NO:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	38	BD1-14b	u	0	0.0	0.0	-90.0	0	273
Yiming Zhang	This study		0.6	122.5	35.5	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-19 09:47:26	1.6100000000000002e-05	7.66e-08	1.1800000000000001e-07	1.2099999999999998e-07	4	273	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-39	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	39	BD1-14b	u	0	0.0	0.0	-90.0	1	373
Yiming Zhang	This study		0.7	114.0	34.6	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-19 14:36:18	1.59e-05	7.13e-08	1.1900000000000001e-07	1.26e-07	4	273	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-40	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	40	BD1-14b	u	0	2.9999999999999997e-05	0.0	-90.0	2	373
Yiming Zhang	This study		0.6	120.7	33.9	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-20 09:50:19	1.52e-05	9.23e-08	1.04e-07	1.0099999999999999e-07	4	273	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-41	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	41	BD1-14b	u	0	2.9999999999999997e-05	0.0	-90.0	3	473
Yiming Zhang	This study		0.6	116.0	35.1	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-20 12:58:59	1.5399999999999998e-05	8.49e-08	1.04e-07	1.08e-07	4	273	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-42	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	42	BD1-14b	u	0	0.0	0.0	-90.0	4	473
Yiming Zhang	This study		0.6	120.7	35.5	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-20 16:51:47	1.51e-05	1.0699999999999999e-07	8.43e-08	9.71e-08	4	273	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-43	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	43	BD1-14b	u	0	0.0	0.0	-90.0	5	573
Yiming Zhang	This study		0.7	117.1	34.7	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-21 11:23:25	1.49e-05	1.06e-07	1.0300000000000001e-07	1.0300000000000001e-07	4	273	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-44	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	44	BD1-14b	u	0	2.9999999999999997e-05	0.0	-90.0	6	373
Yiming Zhang	This study		0.5	120.5	33.5	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-21 14:39:36	1.4599999999999999e-05	8.820000000000001e-08	3.85e-08	9.61e-08	4	273	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-45	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	45	BD1-14b	u	0	2.9999999999999997e-05	0.0	-90.0	7	573
Yiming Zhang	This study		0.6	117.4	31.5	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-22 11:55:40	1.3699999999999998e-05	9.32e-08	8.71e-08	9.039999999999999e-08	4	273	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-46	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	46	BD1-14b	u	0	2.9999999999999997e-05	0.0	-90.0	8	673
Yiming Zhang	This study		0.6	115.8	34.1	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-22 14:33:42	1.4000000000000001e-05	9.460000000000001e-08	8.41e-08	9.240000000000001e-08	4	273	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-47	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	47	BD1-14b	u	0	0.0	0.0	-90.0	9	673
Yiming Zhang	This study		0.6	115.3	35.0	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-23 10:30:43	1.4000000000000001e-05	1.06e-07	7.98e-08	8.97e-08	4	273	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-48	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	48	BD1-14b	u	0	0.0	0.0	-90.0	10	698
Yiming Zhang	This study		0.6	114.0	32.6	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-23 13:34:16	1.3500000000000001e-05	9.41e-08	5.1500000000000005e-08	8.54e-08	4	273	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-49	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	49	BD1-14b	u	0	2.9999999999999997e-05	0.0	-90.0	11	573
Yiming Zhang	This study		0.5	116.4	32.0	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-24 01:25:09	1.3300000000000001e-05	7.66e-08	3.54e-08	8.87e-08	4	273	BD1-14b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-50	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	50	BD1-14b	u	0	2.9999999999999997e-05	0.0	-90.0	12	698
